Ruta,total_sesiones,kms_totales,kms_promedio,minutos_totales,minutos_promedio,vel_media_kmh,max_kms_en_una_sesion,min_kms_en_una_sesion
Chapultepec III y II - TSC,8,283.7,35.46,956,119.5,17.85,40.34,28.82
Lunch Ride,20,259.97,13.0,943,47.1,16.55,22.4,1.45
Evening Ride,26,195.88,7.53,874,33.6,13.87,64.31,1.32
Cycling,21,153.52,7.31,485,23.1,19.06,16.09,2.56
Afternoon Ride,29,150.89,5.2,685,23.6,13.52,18.73,0.9
CCO - PCC,1,145.74,145.74,517,517.0,16.91,145.74,145.74
Tres Marías - PCC,1,130.63,130.63,451,451.0,17.38,130.63,130.63
Fierro de Toro/Tres Marías - Husky Bikers/Team Taquitos,1,129.62,129.62,447,447.0,17.4,129.62,129.62
"San Cristóbal Zacacalco, Tlax - PCC",1,125.72,125.72,355,355.0,21.25,125.72,125.72
Parque Ecológico de Texcoco con KaxaBike - Pedrink Cycling Club,1,107.76,107.76,289,289.0,22.37,107.76,107.76
Mirador de San Pablo Ixayoc - PCC,1,101.73,101.73,325,325.0,18.78,101.73,101.73
"Restaurante Empireo, Edo Mex - Pedrink Cycling Club",1,93.68,93.68,324,324.0,17.35,93.68,93.68
Líneas 12 y 8 del Metro - Chayito Baikers,1,81.18,81.18,240,240.0,20.3,81.18,81.18
Tulyehualco - Fenix Bikers,1,79.49,79.49,237,237.0,20.12,79.49,79.49
Tepozotlán - Freebikes,1,79.3,79.3,217,217.0,21.93,79.3,79.3
Día del niño - Team Taquitos,1,78.28,78.28,302,302.0,15.55,78.28,78.28
GPS Cycling,6,77.95,12.99,318,53.0,16.96,44.39,1.01
Timoteos - Team Taquitos,1,75.61,75.61,243,243.0,18.67,75.61,75.61
Parque Triángulos - Team Taquitos,1,70.71,70.71,221,221.0,19.2,70.71,70.71
Línea 5 y B del Metro - Chayito Baikers,1,70.05,70.05,202,202.0,20.81,70.05,70.05
Night Ride,6,69.79,11.63,202,33.7,15.88,60.05,1.1
Salazar (Alas) - MICiclistas+ PCC,1,69.56,69.56,263,263.0,15.87,69.56,69.56
Marathon Crash - PCC,1,68.86,68.86,190,190.0,21.75,68.86,68.86
Paseo Dominical - PCC,1,67.08,67.08,336,336.0,11.98,67.08,67.08
TSC - Chapultepec III y II,2,66.51,33.26,223,111.5,17.88,35.28,31.23
Ciclotón de junio,1,65.74,65.74,191,191.0,20.65,65.74,65.74
Paseo Dominical completo (por cada ruta alterna que hay).,1,65.65,65.65,194,194.0,20.3,65.65,65.65
Ciclotón de mayo - PCC,1,64.89,64.89,276,276.0,14.11,64.89,64.89
Alameda Sur - PCC,1,64.05,64.05,170,170.0,22.61,64.05,64.05
Monumento a El Caminero - MICiclistas,1,63.81,63.81,244,244.0,15.69,63.81,63.81
"La Purificación, Texcoco - Freebikes",1,63.04,63.04,150,150.0,25.22,63.04,63.04
Glorieta del Obelisco - MICiclistas,1,62.47,62.47,207,207.0,18.11,62.47,62.47
Nezahualcóyotl y Chimalhuacán - Team Taquitos,1,62.38,62.38,182,182.0,20.56,62.38,62.38
Parque Barranca del Muerto - Team Taquitos,1,62.26,62.26,236,236.0,15.83,62.26,62.26
Paseo Dominical agosto 24,1,62.08,62.08,166,166.0,22.44,62.08,62.08
Linea 3 del Metro - Chayito Baikers,1,61.57,61.57,167,167.0,22.12,61.57,61.57
Museo Dolores Olmedo - Freebikes,1,60.9,60.9,164,164.0,22.28,60.9,60.9
Paseo Dominical agosto 10,1,60.5,60.5,175,175.0,20.74,60.5,60.5
Línea 2 del Metro - Chayito Baikers,1,60.1,60.1,252,252.0,14.31,60.1,60.1
Líneas 9 y 1 del Metro - Chayito Baikers,1,58.38,58.38,186,186.0,18.83,58.38,58.38
Monumento al Perro Callejero - Aztecas/ PCC,1,57.32,57.32,163,163.0,21.1,57.32,57.32
David de Miguel Angel - Freebikes,1,56.45,56.45,187,187.0,18.11,56.45,56.45
Ruta de aviones Utopía - Team Taquitos,1,56.04,56.04,158,158.0,21.28,56.04,56.04
Tlalpan centro - Bucaneros + PCC,1,55.77,55.77,161,161.0,20.78,55.77,55.77
Tepepan - Team Taquitos,1,54.14,54.14,145,145.0,22.4,54.14,54.14
Casa de cultura de Tlalpan - Freebikes,1,52.69,52.69,151,151.0,20.94,52.69,52.69
Castillo de Longford - Pedrink Cycling Club,1,52.52,52.52,157,157.0,20.07,52.52,52.52
Paseo Dominical de Coyoacán - PCC,1,52.49,52.49,156,156.0,20.19,52.49,52.49
Centro de Tlalpan - PCC (cancelada),1,52.35,52.35,182,182.0,17.26,52.35,52.35
Casas Del terror - PCC,1,52.27,52.27,134,134.0,23.4,52.27,52.27
Línea B del Metro - Chayito Baikers + PCC,1,51.99,51.99,159,159.0,19.62,51.99,51.99
La Mexicana - Freebikes,1,51.16,51.16,204,204.0,15.05,51.16,51.16
Ciclotón de febrero - Team Taquitos,1,50.8,50.8,139,139.0,21.93,50.8,50.8
Centro de Tlalpan - PCC,1,50.8,50.8,137,137.0,22.25,50.8,50.8
Cerro de la Estrella - Pedrink Cycling Club,1,49.58,49.58,165,165.0,18.03,49.58,49.58
Pabellón Minion / CRI CRI - PCC,1,49.45,49.45,173,173.0,17.15,49.45,49.45
Morning Ride,6,49.39,8.23,244,40.7,12.87,18.15,1.67
La Mexicana - Chayito Chayote,1,47.89,47.89,182,182.0,15.79,47.89,47.89
Fuentes Brotantes - Pedrink Cycling Club,1,47.82,47.82,146,146.0,19.65,47.82,47.82
L'etape Tlalpan - Freebikes,1,47.71,47.71,113,113.0,25.33,47.71,47.71
Pirámide de Pemex - MICiclistas,1,47.06,47.06,160,160.0,17.65,47.06,47.06
Día de Muertos- Hermandad Ciclista | PCC,1,46.83,46.83,145,145.0,19.38,46.83,46.83
Chiluca - Freebikes,1,46.28,46.28,148,148.0,18.76,46.28,46.28
Masa Crítica - Pedrink Cycling Club,1,46.23,46.23,141,141.0,19.67,46.23,46.23
MUAC - PCC,1,45.81,45.81,132,132.0,20.82,45.81,45.81
Barco Utopía - Pedrink Cycling Club,1,45.07,45.07,133,133.0,20.33,45.07,45.07
Museo de Pedro Infante - MICiclistas,1,45.05,45.05,253,253.0,10.68,45.05,45.05
25 Aniversario FUCAM - Amigos en Bici,1,45.01,45.01,153,153.0,17.65,45.01,45.01
Caseta Texcoco - MICiclistas,1,44.72,44.72,123,123.0,21.81,44.72,44.72
Kiosco de Coyoacán - PCC,1,44.67,44.67,138,138.0,19.42,44.67,44.67
T2 - Rene Bikers + PCC,1,44.66,44.66,124,124.0,21.61,44.66,44.66
Kidzania Cuicuilco - Freebikes,1,44.3,44.3,128,128.0,20.77,44.3,44.3
Alberca Olímpica - MICiclistas,1,43.99,43.99,291,291.0,9.07,43.99,43.99
Monumento a Pedro Infante - MICiclistas,1,43.91,43.91,131,131.0,20.11,43.91,43.91
Torres de Satélite - PCC + Cletos Nocturnos,1,43.65,43.65,115,115.0,22.77,43.65,43.65
Rodada masiva - Chayito Baikers,1,43.13,43.13,213,213.0,12.15,43.13,43.13
Flextival,1,42.75,42.75,209,209.0,12.27,42.75,42.75
Museo Anahuacalli - MICiclistas,1,42.71,42.71,138,138.0,18.57,42.71,42.71
Línea 7 del Metro - Chayito Baikers,1,42.64,42.64,129,129.0,19.83,42.64,42.64
Parroquia del buen pastor - Freebikes,1,42.58,42.58,141,141.0,18.12,42.58,42.58
Bandera monumental de San Gerónimo - Chayito Baikers,1,42.54,42.54,125,125.0,20.42,42.54,42.54
GTBC México - MICiclistas,1,41.48,41.48,143,143.0,17.4,41.48,41.48
La Mexicana - PCC,1,41.14,41.14,140,140.0,17.63,41.14,41.14
Coffe Ride - TSC,1,40.96,40.96,141,141.0,17.43,40.96,40.96
Aniversario de Fénix Bikers - PCC,1,40.81,40.81,116,116.0,21.11,40.81,40.81
Rodada del Amortz - Team Taquitos,1,40.4,40.4,122,122.0,19.87,40.4,40.4
Escuela Superior de Guerra - PCC,1,40.34,40.34,117,117.0,20.69,40.34,40.34
Lago Algo - PCC,1,39.99,39.99,299,299.0,8.02,39.99,39.99
Ruta Espíritus - MICiclistas,1,39.92,39.92,149,149.0,16.08,39.92,39.92
Alcaldía V. Carranza - Freebikes,1,39.72,39.72,113,113.0,21.09,39.72,39.72
Aniversario de BCTKs - PCC,1,39.5,39.5,141,141.0,16.81,39.5,39.5
Aniversario de Chayito Baikers,1,38.98,38.98,220,220.0,10.63,38.98,38.98
Mundo E - Michikletos + PCC,1,38.54,38.54,152,152.0,15.21,38.54,38.54
La Mexicana - MICiclistas,1,38.49,38.49,132,132.0,17.5,38.49,38.49
Plaza Rufino Tamayo - Freebikes,1,38.17,38.17,115,115.0,19.91,38.17,38.17
"Cerro de Moctezuma, Aniversario de Huskys Bikers - Team Taquitos",1,38.05,38.05,124,124.0,18.41,38.05,38.05
Bandera San Gerónimo - MICiclistas,1,38.03,38.03,117,117.0,19.5,38.03,38.03
Alberca Olímpica - Freebikes,1,37.79,37.79,117,117.0,19.38,37.79,37.79
Corporativo Bimbo - Freebikes,1,37.78,37.78,128,128.0,17.71,37.78,37.78
Museo del Transporte Eléctrico - Team Taquitos,1,37.68,37.68,154,154.0,14.68,37.68,37.68
Día mundial de la bicicleta - PCC,1,36.95,36.95,129,129.0,17.19,36.95,36.95
Rodada 8M - Chayito Baikers,1,36.79,36.79,215,215.0,10.27,36.79,36.79
Bosques de la ciudad - Yokai,1,36.47,36.47,102,102.0,21.45,36.47,36.47
Plaza de toros La Florecita - Rata Bikers,1,35.98,35.98,114,114.0,18.94,35.98,35.98
2025-04-13Ride,1,35.81,35.81,105,105.0,20.46,35.81,35.81
Coffee Ride Chapultepec,1,35.45,35.45,105,105.0,20.26,35.45,35.45
Afternoon Activity,2,35.4,17.7,107,53.5,19.89,18.76,16.64
Mitad del Paseo Dominical (parte 2) y CU,1,35.24,35.24,154,154.0,13.73,35.24,35.24
El Vigilante - Aztecas,1,35.18,35.18,105,105.0,20.1,35.18,35.18
Parque CRI CRI - Pedrink Cycling Club,1,34.74,34.74,109,109.0,19.12,34.74,34.74
Aniversario de Azcapobike - PCC,1,34.29,34.29,97,97.0,21.21,34.29,34.29
Fuente de los Coyotes - PCC,1,34.25,34.25,97,97.0,21.19,34.25,34.25
Palacio de los Deportes - PCC,1,34.15,34.15,99,99.0,20.7,34.15,34.15
Chapultepec III - The Service Course,1,33.92,33.92,117,117.0,17.39,33.92,33.92
Aniversario de Cletos Nocturnos (media ruta) - PCC,1,33.92,33.92,83,83.0,24.52,33.92,33.92
DIF,3,33.53,11.18,108,36.0,18.63,17.08,8.15
Chapultepec III y II - The Service Course,1,33.46,33.46,116,116.0,17.31,33.46,33.46
Parque del mestizaje - PCC + Azcapobike,1,33.42,33.42,103,103.0,19.47,33.42,33.42
Cárcamo de Dolores - Freebikes,1,33.41,33.41,143,143.0,14.02,33.41,33.41
Plaza San Jacinto - Freebikes,1,33.26,33.26,114,114.0,17.51,33.26,33.26
Museo del Transporte Eléctrico - Chayito Baikers,1,33.07,33.07,110,110.0,18.04,33.07,33.07
Cementerio de aviones - Pedrink Cycling Club,1,32.96,32.96,92,92.0,21.5,32.96,32.96
Monumento a la Madre - Freebikes,1,32.54,32.54,188,188.0,10.39,32.54,32.54
Cablebús - Team Taquitos,1,32.31,32.31,120,120.0,16.16,32.31,32.31
El Gato de Interlomas - MICiclistas,1,32.25,32.25,104,104.0,18.61,32.25,32.25
Granja Las Américas - Aztecas,1,32.2,32.2,97,97.0,19.92,32.2,32.2
Balcones - PCC,1,32.2,32.2,94,94.0,20.55,32.2,32.2
Parque Huei Tochiuitl - Roma Bikers Cycling,1,32.11,32.11,82,82.0,23.5,32.11,32.11
Zoológico de Aragón - MICiclistas,1,32.01,32.01,156,156.0,12.31,32.01,32.01
Praderas de San Mateo - MICiclistas,1,31.99,31.99,103,103.0,18.63,31.99,31.99
Cerro de Zacatenco - PCC,1,31.75,31.75,110,110.0,17.32,31.75,31.75
Rodada NFL - Team Taquitos,1,31.7,31.7,95,95.0,20.02,31.7,31.7
Plaza Parque Duraznos - PCC,1,31.59,31.59,102,102.0,18.58,31.59,31.59
Pirámide de Tenayuca - Freebikes,1,31.32,31.32,139,139.0,13.52,31.32,31.32
Los Bastones - MICiclistas,1,31.27,31.27,162,162.0,11.58,31.27,31.27
Coyoacán - PCC,1,31.27,31.27,93,93.0,20.17,31.27,31.27
Rodada del amor de Chayito Baikers - Pedrink Cycling Club,1,31.11,31.11,106,106.0,17.61,31.11,31.11
Zona arqueológica/Mirador de Sta. Cecilia Acatitlán - PCC,1,31.1,31.1,101,101.0,18.48,31.1,31.1
Acropolis - Pedrink Cycling Club,1,30.73,30.73,101,101.0,18.26,30.73,30.73
Día Mundial Sin Auto - Caravana Ciclista/PCC,1,30.01,30.01,91,91.0,19.79,30.01,30.01
Reto Finsus 2025 - PCC,1,30.0,30.0,60,60.0,30.0,30.0,30.0
Ciudad Deportiva - Pedrink Cycling Club,1,29.97,29.97,85,85.0,21.16,29.97,29.97
Basílica de N. S. de Los Remedios - PCC,1,29.87,29.87,107,107.0,16.75,29.87,29.87
Afternoon training,1,29.54,29.54,73,73.0,24.28,29.54,29.54
Gorditas de Mixcoac - MICiclistas,1,29.31,29.31,126,126.0,13.96,29.31,29.31
2025-01-15Ride,1,29.13,29.13,87,87.0,20.09,29.13,29.13
Chambeanding en el Edo Mex 1,1,28.9,28.9,93,93.0,18.65,28.9,28.9
4o aniversario de Roma Bikers Cycling,1,28.77,28.77,89,89.0,19.4,28.77,28.77
Coffee ride - TSC,1,27.9,27.9,96,96.0,17.44,27.9,27.9
Precumpleañera de Fer,1,27.78,27.78,102,102.0,16.34,27.78,27.78
Zona arqueológica Santa Cecilia - PCC,1,27.74,27.74,92,92.0,18.09,27.74,27.74
Aniversario Yokai - PCC,1,27.6,27.6,104,104.0,15.92,27.6,27.6
Parque Oaxaca (taller de lavado) - Chayito Baikers,1,27.5,27.5,98,98.0,16.84,27.5,27.5
Fuente de los bastones - PCC,1,27.37,27.37,84,84.0,19.55,27.37,27.37
Rally día del niño - Freebikes,1,27.22,27.22,169,169.0,9.66,27.22,27.22
Mansión de Ignacio Holtz - MICiclistas,1,27.02,27.02,94,94.0,17.25,27.02,27.02
Honda Satélite,1,26.84,26.84,81,81.0,19.88,26.84,26.84
Chambeanding en el Edo Mex 2,1,26.67,26.67,81,81.0,19.76,26.67,26.67
Misión: rescatar bicicleta de un PCC,1,26.53,26.53,79,79.0,20.15,26.53,26.53
Rodada 8M ♀️- MICiclistas,1,26.08,26.08,88,88.0,17.78,26.08,26.08
Monumento a la enfermera - Freebikes,1,25.81,25.81,91,91.0,17.02,25.81,25.81
Atlantis - PCC,1,25.53,25.53,97,97.0,15.79,25.53,25.53
Zócalo. Rodada de la amistad - Freebikes,1,25.49,25.49,111,111.0,13.78,25.49,25.49
2025-03-04Ride,1,25.47,25.47,108,108.0,14.15,25.47,25.47
GEPP CeDis Tlalnepantla,1,25.35,25.35,67,67.0,22.7,25.35,25.35
Tlalnepantla 1,1,24.96,24.96,70,70.0,21.39,24.96,24.96
Rodada día de muertos - Freebikes,1,24.38,24.38,119,119.0,12.29,24.38,24.38
Bosque de Aragón,1,24.28,24.28,59,59.0,24.69,24.28,24.28
2025-01-30Ride,2,24.05,12.03,76,38.0,18.35,22.0,2.05
2025-10-21Ride,1,24.0,24.0,69,69.0,20.87,24.0,24.0
Tlalnepantla 2,1,23.97,23.97,71,71.0,20.26,23.97,23.97
Chambeanding en el Edo Mex 3,1,23.44,23.44,64,64.0,21.98,23.44,23.44
Barrio Chino - Freebikes,1,23.42,23.42,93,93.0,15.11,23.42,23.42
Callejón del Beso - MICiclistas,1,23.21,23.21,77,77.0,18.09,23.21,23.21
Paseo Nocturno,1,22.92,22.92,148,148.0,9.29,22.92,22.92
Salud Digna Tlalne → DIF → Home,1,22.88,22.88,65,65.0,21.12,22.88,22.88
2025-05-15Ride,1,22.4,22.4,65,65.0,20.68,22.4,22.4
Caracol Oriente - MICiclistas,1,22.1,22.1,77,77.0,17.22,22.1,22.1
Stranger Things - PCC,1,21.89,21.89,64,64.0,20.52,21.89,21.89
Pride - Freebikes,1,21.7,21.7,69,69.0,18.87,21.7,21.7
Casas de Halloween: Echegaray/SanMateo - PCC,1,21.5,21.5,74,74.0,17.43,21.5,21.5
2025-01-25Ride,2,20.53,10.27,66,33.0,18.6,13.78,6.75
Lomas de Chapultepec,1,20.35,20.35,72,72.0,16.96,20.35,20.35
Trazo de la ruta randonautica,1,20.15,20.15,108,108.0,11.19,20.15,20.15
Mitad de Paseo Dominical (parte 1),1,19.97,19.97,63,63.0,19.02,19.97,19.97
2025-01-29Ride,1,19.84,19.84,64,64.0,18.6,19.84,19.84
Evening Ride - PCC,1,19.61,19.61,119,119.0,9.89,19.61,19.61
2025-01-14Ride,1,19.6,19.6,81,81.0,14.52,19.6,19.6
Rosca de Reyes - Team Taquitos,1,19.44,19.44,57,57.0,20.46,19.44,19.44
Rodada 8M - Freebikes,1,19.05,19.05,75,75.0,15.24,19.05,19.05
Intergrupal de aniversario 3 MICiclistas,1,18.5,18.5,61,61.0,18.2,18.5,18.5
BBVA Vallejo Pte / Vallejo,1,18.25,18.25,56,56.0,19.55,18.25,18.25
Zócalo/Bellas Artes - PCC,1,17.85,17.85,67,67.0,15.99,17.85,17.85
Honda Lomas Verdes,1,17.81,17.81,60,60.0,17.81,17.81,17.81
Parque Lázaro Cárdenas,1,17.39,17.39,54,54.0,19.32,17.39,17.39
DIF → BBVA Ferrería,1,17.16,17.16,51,51.0,20.19,17.16,17.16
"""Mañana Mexicana""",1,16.85,16.85,65,65.0,15.55,16.85,16.85
Fisio ida,2,16.52,8.26,47,23.5,21.1,8.28,8.24
Parque México - PCC,1,16.39,16.39,55,55.0,17.88,16.39,16.39
DIF → ←,1,16.31,16.31,48,48.0,20.39,16.31,16.31
Vueltas de castigo por olvidar las llaves,1,16.18,16.18,42,42.0,23.11,16.18,16.18
Trazo (ida),1,16.1,16.1,40,40.0,24.15,16.1,16.1
Trazo Atlantis regreso,1,15.99,15.99,50,50.0,19.19,15.99,15.99
Regreso,2,15.73,7.87,50,25.0,18.91,7.93,7.8
Flextival 9,1,15.69,15.69,50,50.0,18.83,15.69,15.69
2025-06-16Ride,1,15.15,15.15,51,51.0,17.82,15.15,15.15
→ DIF ←,1,15.0,15.0,60,60.0,15.0,15.0,15.0
Aphesis Roma,1,15.0,15.0,53,53.0,16.98,15.0,15.0
Interview with the vampire,1,14.48,14.48,84,84.0,10.34,14.48,14.48
Entreno relax,1,14.43,14.43,40,40.0,21.64,14.43,14.43
Posada Chayito Baikers,1,13.21,13.21,43,43.0,18.43,13.21,13.21
Return,3,13.2,4.4,49,16.3,14.34,8.8,0.9
Super,1,12.96,12.96,59,59.0,13.18,12.96,12.96
Power BI 0/4,1,12.2,12.2,47,47.0,15.57,12.2,12.2
KIA Vallejo,1,11.78,11.78,31,31.0,22.8,11.78,11.78
2025-01-21Ride,1,11.35,11.35,32,32.0,21.28,11.35,11.35
Eddington,1,11.2,11.2,40,40.0,16.8,11.2,11.2
Regreso del aniversario de Cletos Nocturnos - PCC,1,10.8,10.8,27,27.0,24.0,10.8,10.8
Power BI 4/4,1,10.61,10.61,32,32.0,19.89,10.61,10.61
Power BI 3/4,1,10.28,10.28,32,32.0,19.27,10.28,10.28
One Battle After Another,1,10.25,10.25,30,30.0,20.5,10.25,10.25
Rosca de Reyes - Chayito Baikers,1,10.12,10.12,42,42.0,14.46,10.12,10.12
KIA San Joaquín,1,9.36,9.36,45,45.0,12.48,9.36,9.36
Cena con PCC y sprint,1,8.94,8.94,57,57.0,9.41,8.94,8.94
Ida fisio,1,8.84,8.84,28,28.0,18.94,8.84,8.84
Fisio y psico,1,8.69,8.69,24,24.0,21.72,8.69,8.69
Den Stygge Stesøsteren,1,8.43,8.43,24,24.0,21.07,8.43,8.43
2025-06-19Ride,1,8.39,8.39,28,28.0,17.98,8.39,8.39
DIF →,1,8.37,8.37,38,38.0,13.22,8.37,8.37
De regreso,1,8.34,8.34,25,25.0,20.02,8.34,8.34
Camino con fisioterapeuta,1,8.33,8.33,26,26.0,19.22,8.33,8.33
Fisio. Regreso,1,8.32,8.32,25,25.0,19.97,8.32,8.32
Workout,1,8.28,8.28,26,26.0,19.11,8.28,8.28
BBVA Río Consulado,1,8.13,8.13,25,25.0,19.51,8.13,8.13
Corporativo Rotoplas,1,7.86,7.86,26,26.0,18.14,7.86,7.86
Profesionales en Inventarios,1,7.6,7.6,22,22.0,20.73,7.6,7.6
Curso,1,7.2,7.2,19,19.0,22.74,7.2,7.2
2025-01-03Ride,1,6.96,6.96,28,28.0,14.91,6.96,6.96
Ida y vuelta,1,6.94,6.94,31,31.0,13.43,6.94,6.94
Refacciones,1,6.86,6.86,26,26.0,15.83,6.86,6.86
De regreso corriendo a ver la NFL,1,6.52,6.52,18,18.0,21.73,6.52,6.52
Pre-foro Azcapotzalco en bici,1,6.21,6.21,22,22.0,16.94,6.21,6.21
2025-02-13Ride,1,6.2,6.2,25,25.0,14.88,6.2,6.2
Fisioterapia,1,5.68,5.68,16,16.0,21.3,5.68,5.68
MNF en casa de Viko,1,5.6,5.6,19,19.0,17.68,5.6,5.6
Cine (regreso),1,5.6,5.6,18,18.0,18.67,5.6,5.6
DIF ←,1,5.43,5.43,13,13.0,25.06,5.43,5.43
Cinito (ida),1,5.27,5.27,16,16.0,19.76,5.27,5.27
En chinga de regreso,1,5.24,5.24,13,13.0,24.18,5.24,5.24
Regresando,1,5.23,5.23,18,18.0,17.43,5.23,5.23
Power BI 2/4,1,5.06,5.06,21,21.0,14.46,5.06,5.06
#NoMásMuertesViales,1,5.0,5.0,41,41.0,7.32,5.0,5.0
Mandadero,1,4.93,4.93,20,20.0,14.79,4.93,4.93
Call Center,1,4.58,4.58,15,15.0,18.32,4.58,4.58
SNF 13,1,4.44,4.44,28,28.0,9.51,4.44,4.44
2025-08-14Ride,2,4.31,2.16,17,8.5,15.24,2.22,2.09
BBVA Nva Sta Ma.,1,4.18,4.18,20,20.0,12.54,4.18,4.18
2025-03-29Ride,1,4.14,4.14,13,13.0,19.11,4.14,4.14
2025-01-31Ride,1,4.01,4.01,11,11.0,21.87,4.01,4.01
Trabajo 1 y servicio,1,3.96,3.96,15,15.0,15.84,3.96,3.96
The Black Phone 2,1,3.91,3.91,17,17.0,13.8,3.91,3.91
Premiere en CineDot,1,3.9,3.9,17,17.0,13.76,3.9,3.9
Home → Chopo,1,3.82,3.82,14,14.0,16.37,3.82,3.82
MNF 14,1,3.54,3.54,16,16.0,13.28,3.54,3.54
MNF,2,3.51,1.76,13,6.5,15.41,2.62,0.89
Power BI 1/4,1,3.41,3.41,9,9.0,22.73,3.41,3.41
SNF 11,1,3.3,3.3,15,15.0,13.2,3.3,3.3
MNF 16,1,3.27,3.27,15,15.0,13.08,3.27,3.27
Recogiendo de servicio,1,3.14,3.14,13,13.0,14.49,3.14,3.14
A ver el TNF,1,2.81,2.81,11,11.0,15.33,2.81,2.81
SNF semana 8,1,2.6,2.6,12,12.0,13.0,2.6,2.6
MNF 11,1,2.5,2.5,9,9.0,16.67,2.5,2.5
Verónica → Home,1,2.42,2.42,10,10.0,14.52,2.42,2.42
MNF 10,1,2.4,2.4,10,10.0,14.4,2.4,2.4
Premiere The Threesome,1,2.28,2.28,8,8.0,17.1,2.28,2.28
Afternoon ride,1,2.1,2.1,20,20.0,6.3,2.1,2.1
Corriendo por el pan,1,2.09,2.09,14,14.0,8.96,2.09,2.09
Visitando a las mormonas,1,1.77,1.77,8,8.0,13.28,1.77,1.77
Unos kms extra,1,1.67,1.67,5,5.0,20.04,1.67,1.67
Después del TNF,1,1.43,1.43,7,7.0,12.26,1.43,1.43
The Conjuring :Last Rites,1,1.32,1.32,5,5.0,15.84,1.32,1.32
MNF 15,1,1.32,1.32,4,4.0,19.8,1.32,1.32
SNF,1,1.27,1.27,5,5.0,15.24,1.27,1.27
2da mitad del MNF,1,1.26,1.26,5,5.0,15.12,1.26,1.26
SNF 10,1,1.23,1.23,4,4.0,18.45,1.23,1.23
Fer → Home,1,1.04,1.04,3,3.0,20.8,1.04,1.04
2025-03-11Ride,2,0.31,0.15,6,3.0,2.33,0.31,0.0
2025-03-30Ride,1,0.2,0.2,1,1.0,12.0,0.2,0.2
